Request ID,Hosted or New,Name,VM or vLink?,Source,Target,Host
1,new,vnf0_1,VM,NA,NA,w3
1,new,vnf1_1,VM,NA,NA,s3
1,new,vnf2_1,VM,NA,NA,s3
1,new,vnf3_1,VM,NA,NA,s3
1,new,"(vnf0_1,vnf1_1)",vLink,vnf0_1,vnf1_1,"(s3,w3)
"
1,new,"(vnf1_1,vnf2_1)",vLink,vnf1_1,vnf2_1,
1,new,"(vnf2_1,vnf3_1)",vLink,vnf2_1,vnf3_1,
2,new,vnf0_2,VM,NA,NA,w3
2,new,vnf1_2,VM,NA,NA,s3
2,new,vnf2_2,VM,NA,NA,s1
2,new,vnf3_2,VM,NA,NA,s1
2,new,"(vnf0_2,vnf1_2)",vLink,vnf0_2,vnf1_2,"(s3,w3)
"
2,new,"(vnf1_2,vnf2_2)",vLink,vnf1_2,vnf2_2,"(s1,s3)
"
2,new,"(vnf2_2,vnf3_2)",vLink,vnf2_2,vnf3_2,
3,new,vnf0_3,VM,NA,NA,w3
3,new,vnf1_3,VM,NA,NA,s3
3,new,vnf2_3,VM,NA,NA,s1
3,new,vnf3_3,VM,NA,NA,s2
3,new,"(vnf0_3,vnf1_3)",vLink,vnf0_3,vnf1_3,"(s3,w3)
"
3,new,"(vnf1_3,vnf2_3)",vLink,vnf1_3,vnf2_3,"(s1,s3)
"
3,new,"(vnf2_3,vnf3_3)",vLink,vnf2_3,vnf3_3,"(s1,s2)
"
